Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Wendy Hart Beckman,"Dating, Relationships, And Sexuality: What Teens Should Know",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Ruth Behar,Lucky Broken Girl,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Ruth Behar,Lucky Broken Girl,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Kathy Belge,Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries,"Bieschke, Marke","Robinson, Christopher",,Florida,St. Johns County School District,May 2022,Formal Challenge,2022
Kathy Belge,Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",,Tennessee,Collierville Schools,February 2022,Administration,2022
Kathy Belge,Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",,Wisconsin,Elmbrook Schools,July 2021,Administration,2021
Kathy Belge,Queer: The Ultimate LGBTQ Guide for Teens,Banned in Libraries and Classrooms,"Bieschke, Marke","Robinson, Christopher",,Wisconsin,School District of Waukesha,December 2021,Administration,2021
Derrick Bell,Faces at the Bottom of the Well: The Permanence of Racism,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Eric Bell,Alan Cole Is Not a Coward,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
William Bell,Death Wind,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
William Bell,Death Wind,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
William Bell,La tormenta,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sara Benincasa,Great,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Sara Benincasa,Great,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Kelly Bennett,Not Norman: A Goldfish Story,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administration,2021
Michael Bennett,Things That Make White People Uncomfortable (Adapted for Young Adults),Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Robin Benway,Far from the Tree,Banned in Libraries,,,,Indiana,Middlebury Community Schools,December 2021,Administration,2021
Robin Benway,Far from the Tree,Banned Pending Investigation,,,,Tennessee,Hamilton County Schools,October 2021,Administration,2021
Fox Benwell,Kaleidoscope Song,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Jan Berenstain,The Berenstain Bears and the Big Question (The Berenstain Bears Series),Banned Pending Investigation,"Berenstain, Stan",,,Florida,Duval County Public Schools,January 2022,Administration,2022
Cyn Bermudez,This Place Is Not My Home,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Alex Bertie,Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Alex Bertie,Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Alex Bertie,Trans Mission: My Quest to a Beard,Banned in Libraries and Classrooms,,,,Texas,Frisco Independent School District,February 2022,Administration,2022
Alex Bertie,Trans Mission: My Quest to a Beard,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Thomas E. Bevan,Being Transgender: What You Should Know,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Ilsa J. Bick,The Sin-Eater's Confession,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Ilsa J. Bick,The Sin-Eater's Confession,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administration,2021
Ilsa J. Bick,The Sin-Eater's Confession,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Phil Bildner,Marvelous Cornelius: Hurricane Katrina and the Spirit of New Orleans,Banned in Classrooms,,"Parra, John",,Pennsylvania,Central York School District,August 2021,Administration,2021
Phil Bildner,Most Valuable Players (Rip and Red Series),Banned Pending Investigation,,"Probert, Tim",,Florida,Duval County Public Schools,January 2022,Administration,2022
Phil Bildner,Playing the Field,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Anna Birch,I Kissed Alice,Banned Pending Investigation,,"Ying, Victoria",,Tennessee,Collierville Schools,February 2022,Administration,2022
Jackson Bird,"Sorted: Growing Up, Coming Out, and Finding My Place",Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Becky Birtha,Grandmama's Pride,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Lauren Bjorkman,My Invented Life,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Lauren Bjorkman,My Invented Life,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sophie Blackall,The Baby Tree,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Sophie Blackall,The Baby Tree,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Sophie Blackall,The Baby Tree,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge,2022
Terence Blacker,Boy2Girl,Banned Pending Investigation,,,,Florida,Indian River County School District,November 2021,Administration,2021
Ashley Herring Blake,Girl Made of Stars,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Ashley Herring Blake,Girl Made of Stars,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Ashley Herring Blake,How to Make a Wish,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Ashley Herring Blake,Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administration,2022
Ashley Herring Blake,Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Ashley Herring Blake,La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,Banned Pending Investigation,,,"Rojas, María Celina",Texas,North East Independent School District,December 2021,Administration,2021
Ashley Herring Blake,The Mighty Heart of Sunny St. James,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Kim Taylor Blakemore,Bowery Girl,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Patty Blount,Someone I Used to Know,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administration,2021
Judy Blume,Forever...,Banned Pending Investigation,,,,Florida,Brevard Public Schools,March 2022,Administration,2022
Judy Blume,Forever...,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Judy Blume,Forever...,Banned in Libraries and Classrooms,,,,Florida,Jackson County School District,April 2022,Administration,2022
Judy Blume,Forever...,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administration,2022
Judy Blume,"Then Again, Maybe I Won't",Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Karen Blumenthal,Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Maribeth Boelts,A Bike Like Sergio's,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administration,2021
Maribeth Boelts,Those Shoes,Banned in Classrooms,,"Jones, Noah Z.",,Pennsylvania,Central York School District,August 2021,Administration,2021
Tonya Bolden,Changing the Equation: 50+ US Black Women in STEM,Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administration,2021
Archie Bongiovanni,A Quick & Easy Guide to They/Them Pronouns,Banned in Libraries and Classrooms,"Jimerson, Tristan",,,Tennessee,Collierville Schools,February 2022,Administration,2022
Agnes Borinsky,Sasha Masha,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Born This Way Foundation Reporters,Channel Kindness: Stories of Kindness and Community,Banned Pending Investigation,Lady Gaga,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Matt Bors,"Be Gay, Do Comics: Queer History, Memoir, and Satire from The Nib",Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Tanya Boteju,Bruised,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Tanya Boteju,"Kings, Queens, and In-Betweens",Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Shakirah Bourne,"Allies: Real Talk About Showing Up, Screwing Up, And Trying Again",Banned Pending Investigation,"Levy, Dana Alison",,,Tennessee,Collierville Schools,February 2022,Administration,2022
David Bowles,The Witch Owl Parliament (Clockwork Curandera Series),Banned Pending Investigation,Raúl the Third,"Robinson, Stacey; Duffy, Damian",,Tennessee,Collierville Schools,February 2022,Administration,2022
Akemi Dawn Bowman,Summer Bird Blue,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Maria Boyd,Will,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Ann Braden,The Benefits of Being an Octopus,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administration,2022
James Brandon,"Ziggy, Stardust and Me",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Kenneth Braswell,"Daddy, There's A Noise Outside",Banned in Classrooms,,"Dent, Joe; Anderson, Julie",,Pennsylvania,Central York School District,August 2021,Administration,2021
Eric Braun,Protest Movements: Then and Now,Banned in Libraries and Classrooms,,,,Wisconsin,School District of Cadott Community,March 2022,Formal Challenge,2022
Libba Bray,Lair of Dreams (The Diviners Series),Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Z Brewer,Into the Real,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Ruby Bridges,This Is Your Time,Banned in Libraries,,,,Texas,Katy Independent School District,January 2022,Administration,2022
Ruby Bridges,This Is Your Time,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Kevin Brooks,Black Rabbit Summer,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administration,2022
Kevin Brooks,Black Rabbit Summer,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
JaNay Brown-Wood,Imani's Moon,Banned in Classrooms,,"Mitchell, Hazel",,Pennsylvania,Central York School District,August 2021,Administration,2021
Dinah Brown,Who Is Malala Yousafzai? (Who was...? Series),Banned in Classrooms,,"Thomson, Andrew",,Pennsylvania,Central York School District,August 2021,Administration,2021
Echo Brown,Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administration,2021
Echo Brown,Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Echo Brown,Black Girl Unlimited: The Remarkable Story of a Teenage Wizard,Banned in Libraries,,,,Missouri,Nixa Public Schools,February 2022,Formal Challenge,2022
Jaye Robin Brown,The Key to You and Me,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Jaye Robin Brown,The Meaning of Birds,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
Monica Brown,Lola Levine and the Ballet Scheme (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administration,2021
Monica Brown,Lola Levine and the Halloween Scream (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administration,2021
Monica Brown,Lola Levine and the Vacation Dream (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administration,2021
Monica Brown,Lola Levine Is Not Mean! (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administration,2021
Monica Brown,Lola Levine Meets Jelly and Bean (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administration,2021
Monica Brown,Lola Levine: Drama Queen (Lola Levine Series),Banned in Classrooms,,"Dominguez, Angela",,Pennsylvania,Central York School District,August 2021,Administration,2021
Monica Brown,Marisol McDonald Doesn't Match (Marisol McDonald Series),Banned Pending Investigation,,"Palacios, Sara",,Florida,Duval County Public Schools,January 2022,Administration,2022
