Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Year
Margaret Atwood,The Handmaid's Tale,Banned Pending Investigation,,,,Michigan,Rochester Community Schools District,April 2022,Administration,2022
Margaret Atwood,The Handmaid's Tale,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Margaret Atwood,The Handmaid's Tale,Banned Pending Investigation,,,,Texas,Klein Independent School District,November 2021,Administration,2021
Margaret Atwood,The Handmaid's Tale,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administration,2021
Margaret Atwood,The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,,"Nault, Renee",,Kansas,Goddard Public Schools,November 2021,Administration,2021
Margaret Atwood,The Handmaid's Tale: The Graphic Novel,Banned in Libraries,,"Nault, Renee",,Oregon,Medford School District 549C,April 2022,Formal Challenge,2022
Margaret Atwood,The Handmaid's Tale: The Graphic Novel,Banned in Classrooms,,"Nault, Renee",,Texas,Leander Independent School District,September 2021,Administration,2021
Margaret Atwood,The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,,"Nault, Renee",,Texas,North East Independent School District,December 2021,Administration,2021
Margaret Atwood,The Testaments,Banned Pending Investigation,,,,Kansas,Goddard Public Schools,November 2021,Administration,2021
Margaret Atwood,The Testaments,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administration,2022
Megan Atwood,Raise the Stakes,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administration,2021
J.J. Austrian,Worm Loves Worm,Banned in Classrooms,,"Curato, Mike",,Florida,Lee County Schools,March 2022,Administration,2022
J.J. Austrian,Worm Loves Worm,Banned Pending Investigation,,"Curato, Mike",,Florida,Walton County School District,April 2022,Administration,2022
M. Azmitia,Rising Out,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administration,2022
Jacqui Bailey,"Sex, Puberty, and All That Stuff: A Guide to Growing Up",Banned in Libraries,,"McCafferty, Jan",,Texas,North East Independent School District,December 2021,Administration,2021
Christine Baldacchino,Morris Micklewhite and the Tangerine Dress,Banned in Classrooms,,"Malenfant, Isabelle",,Pennsylvania,Central York School District,August 2021,Administration,2021
Christine Baldacchino,Morris Micklewhite and the Tangerine Dress,Banned Pending Investigation,,"Malenfant, Isabelle",,Texas,North East Independent School District,December 2021,Administration,2021
Mahzarin R. Banaji,Blindspot: Hidden Biases of Good People,Banned in Classrooms,"Greenwald, Anthony G.",,,Pennsylvania,Central York School District,August 2021,Administration,2021
